id,language,prompt,type_es,translation,type,lengh_words,lib,Title,description,categories,check,interesting,fellings,mix
1,es,"Por favor, recomiéndame un libro de ciencia ficción que sea una novela clásica.",Ciencia ficción,Please recommend a science fiction book that is a classic novel.,Science fiction,11,37379,Feast of Fools,Watch a Windows Media trailer for this book.,Young Adult Fiction,1,,,1
1,es,"Por favor, recomiéndame un libro de ciencia ficción que sea una novela clásica.",Ciencia ficción,Please recommend a science fiction book that is a classic novel.,Science fiction,11,43904,"The Ballad of Dred Scott: A Story of Slavery a Fight for Freedom, the Universe,the Great Creator, And a Hero",* This book is printed on demand.,Fiction,1,,,1
1,es,"Por favor, recomiéndame un libro de ciencia ficción que sea una novela clásica.",Ciencia ficción,Please recommend a science fiction book that is a classic novel.,Science fiction,11,34783,Red (Colors),Includes a reader's guide and an author's note.,Juvenile Fiction,1,,,1
1,es,"Por favor, recomiéndame un libro de ciencia ficción que sea una novela clásica.",Ciencia ficción,Please recommend a science fiction book that is a classic novel.,Science fiction,11,36314,"The Sign of the Twisted Candles (Nancy Drew, Book 9)","A reproduction of the first edition of THE SIGN OF THE TWISTED CANDLE, as it was originally published in 1933. For readers who met Nancy Drew before 1959, this is the book they remember. Copyright © Libri GmbH. All rights reserved.",Juvenile Fiction,1,,,1
1,es,"Por favor, recomiéndame un libro de ciencia ficción que sea una novela clásica.",Ciencia ficción,Please recommend a science fiction book that is a classic novel.,Science fiction,11,32446,The Compleat Werewolf and Other Stories of Fantasy and Science Fiction.,"10 short stories of fantasy and science fiction. For contents, see Author Catalog.","Fantasy fiction, American",1,,,1
1,es,Dame sugerencias de libros de no ficción sobre psicología positiva y felicidad.,Psicología,Give me suggestions of non -fiction books about positive psychology and happiness.,Psychology,12,69703,Your Perfect Right: Assertiveness and Equality in Your Life and Relationships,Ninth edition of the assertiveness book most recommended by psychologists -- fifth most recommended among all self-help books! Helps readers step-by-step to develop more effective self-expression.,Psychology,1,,,
1,es,Dame sugerencias de libros de no ficción sobre psicología positiva y felicidad.,Psicología,Give me suggestions of non -fiction books about positive psychology and happiness.,Psychology,12,79097,Postmodern Existential Sociology,Third version of a long-standing textbook that examines the self in everyday life. Visit our website for sample chapters!,Social Science,1,,,
1,es,Dame sugerencias de libros de no ficción sobre psicología positiva y felicidad.,Psicología,Give me suggestions of non -fiction books about positive psychology and happiness.,Psychology,12,135785,Positive addiction,The author of Reality Therapy and Take Effective Control of Your Life shows readers how to gain strength and self-esteem through positive behavior.,Psychology,1,,,
1,es,Dame sugerencias de libros de no ficción sobre psicología positiva y felicidad.,Psicología,Give me suggestions of non -fiction books about positive psychology and happiness.,Psychology,12,80538,Beyond Negative Thinking: Breaking The Cycle Of Depressing And Anxious Thoughts,An invaluable guide on how to feel better and improve behavior by recognizing and breaking patterns of negative thinking.,Self-Help,1,,,
1,es,Dame sugerencias de libros de no ficción sobre psicología positiva y felicidad.,Psicología,Give me suggestions of non -fiction books about positive psychology and happiness.,Psychology,12,17793,Lose Weight Feel Great Without Sacrifice or Willpower,All About Hypnosis Is an e-book providing information about what is hypnotherapy and how it can help you improve or enhance your life.,Psychology,1,,,
2,es,Recomiéndame una novela de misterio ambientada en un pequeño pueblo costero con personajes intrigantes y un toque de romance. Me encanta la atmósfera misteriosa y los giros inesperados en la trama.,Misterio,I recommend a mystery novel set in a small coastal town with intriguing characters and a touch of romance. I love the mysterious atmosphere and the unexpected twists in the plot.,Mystery,31,28516,Conch Shell Murder (Five Star First Edition Mystery),"Known for her highly acclaimed mysteries for the young adult audience, this is Francis' first adult mystery novel -- a suspense thriller combining a first-rate puzzle with some wonderfully entertaining character portraits. It's a classic whodunit filled with fun and suspense, all set against the tropical backdrop of Key West.",Fiction,1,,1,1
2,es,Recomiéndame una novela de misterio ambientada en un pequeño pueblo costero con personajes intrigantes y un toque de romance. Me encanta la atmósfera misteriosa y los giros inesperados en la trama.,Misterio,I recommend a mystery novel set in a small coastal town with intriguing characters and a touch of romance. I love the mysterious atmosphere and the unexpected twists in the plot.,Mystery,31,76872,Heir to Govandhara,An absorbing and seductive fantasy novel that sweeps the reader into a world of warmth and beauty.,Fiction,1,,1,1
2,es,Recomiéndame una novela de misterio ambientada en un pequeño pueblo costero con personajes intrigantes y un toque de romance. Me encanta la atmósfera misteriosa y los giros inesperados en la trama.,Misterio,I recommend a mystery novel set in a small coastal town with intriguing characters and a touch of romance. I love the mysterious atmosphere and the unexpected twists in the plot.,Mystery,31,132438,"Town Mouse, Country Mouse","Mice overflowing with personality and richly detailed settings make this a favorite edition of the classic tale. Jan Brett introduces two engaging mouse couples eager to get away from their everyday lives. But when they agree to swap homes, they are plunged into unexpected adventures at every turn. In a story filled with suspense and humor, lush green country scenes alternate with the elegant details of a fine Victorian townhouse, making this a breathtakingly beautiful picture book.",Juvenile Fiction,1,,1,1
